"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control blast of Paddy?","Ans:-  . 2- 3 Foliar application of Propiconazol(Tilt) 1 Lit/hac or Cantaze 2 Lit./hac at 15 days interval. Split the dose of nitrogen in 2- 3 times & increase the dose of potassium .","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-19 16:05:57.130"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Fertilizer Use and Availability","Which fertilizer and nutrient give for better growth in bhinndi crop?","Spray N: P: K 0-52-34 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-08-20 07:19:39.557"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to increase yield of paddy","urea 30kg","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-08-20 08:23:50.130"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","how to control fungal disease in paddy ?","use trycyclozole","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-20 08:40:08.923"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-20 08:45:58.597"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","How to control of fungal attack in culiflower crop?","Mancozeb 63% + Carbendazime 12% WP 40 gram and steptrocyclean 2 gram at 15 liter of water.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-08-20 09:26:25.963"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-20 16:57:10.963"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast in paddy","???????? ????????? ???? ??????????????? (??? ?? ???) - 6 ????.10 ??. ????, ??????????????? (????????- 1 ????./??. ????) ?? ??????????? (?????????-1.5 ????/??. ????) ?? ??????? ???? ??????? ??? ?? ??????? ?? ?????? 12-15 ??? ??? ??????? ?????? ???? ???????","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA                                          ","2014-08-20 17:40:45.090"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control caterpillar in moong ?","Apply propenophos + cypermethrin 40 ml/pump to control caterpillar in moong","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-20 21:55:30.307"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Control of fungal disease in paddy crop   crop  ?","spray of propiconazol 20ml per pump .","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-08-20 21:57:23.413"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop ?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-08-21 07:20:24.730"
