"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","","ASKING FOR THE PROPER PROCEDURE TO GET KISAN CREDIT CARD LOAN.","I SUGGEST HIM TO VISIT NATIONALIZE BANK WITH PROPER DOCUMENTS.","ASSAM","KOKRAJHAR","GOSSAIGAON                                        ","2014-08-03 07:08:47.000"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","WANTE TO KNOW THE AMOUNT OF FERTILIZER REQUIRED IN ONE BIGHA OF BRINJAL","ADVISED TO APPLY 7.5 KG UREA 40 KG SUPER 10 KG POTASH AND 1 QUINTOL FYM AS DIRECTED","ASSAM","KOKRAJHAR","DOTOMA                                            ","2014-08-09 11:28:07.000"
"","HORTICULTURE","Fruits","Banana","Cultural Practices","ASKING FOR TIME OF FERT APPLICATION FOR 2ND TIME","2ND TIME FERT TO BE APPLY TWO MONTHS AFTER 1ST APPLICATION OF FERT","ASSAM","KOKRAJHAR","GOSSAIGAON                                        ","2014-08-09 17:13:43.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","HISPA PROBLEM IN RICE","SPRAY CHLOROPYRIPHOS 30EC @ 2ML/LITRE OF WATER","ASSAM","KOKRAJHAR","DOTOMA                                            ","2014-08-22 17:01:01.353"
