"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","NO RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-24 14:51:08.303"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT","NO RAIN FALL UP TO 5 DAYS, CLOUDY SKY","RAJASTHAN","JALOR","AHORE                                             ","2014-08-24 16:10:21.273"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NOT RAINFALL NEXT FIVE DAYS","RAJASTHAN","JALOR","SAYLA                                             ","2014-08-24 16:18:04.637"
"KHARIF","AGRICULTURE","Others","Others","","TELL ME WEATHER RE[PORT IN JALORE","NO RAINFAL IN NEXT 5 DAY","RAJASTHAN","JALOR","BHINMAL                                           ","2014-08-24 19:00:29.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT","NO RAIN FALL UP TO 5 DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-24 20:13:40.750"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","TELL ME WEATHER FORECASTING","NOT RAINFALL NEXT FIVE DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-24 20:34:40.513"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NOT RAINFALL NEXT FIVE DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-24 21:02:28.657"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME TERMITE CONTROL IN CHILLIES .","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","RAJASTHAN","JALOR","BHINMAL                                           ","2014-08-25 08:20:51.970"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","LEAF YELLOW IN BANANA","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-25 08:27:02.647"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-08-25 09:34:16.527"
