"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ka biz dar kya hai","mirch ka biz dar 500 gram/hacter hai","UTTARAKHAND","RUDRAPRAYAG","","2014-08-03 10:01:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan mein khad kya de","broad casting urea @ 40 kilo/acre","UTTARAKHAND","RUDRAPRAYAG","","2014-08-05 17:50:23.000"
"","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","cucumber sad rahe hai?","apply Carbendazim 12% + Mancozeb 63% WP 
dose/acre : 300-400 gm/acre","UTTARAKHAND","RUDRAPRAYAG","AUGUSTMUNI                                        ","2014-08-09 09:59:33.000"
